ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.713353,0.719684,0.008874,0.01,0.01,402,0.0001,0.2,270,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.716218,0.721924,0.007967,0.01,0.01,402,0.0001,0.2,280,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.718232,0.722352,0.005736,0.01,0.01,402,0.0001,0.2,290,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717177,0.721325,0.005783,0.01,0.01,402,0.0001,0.2,300,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.716262,0.721669,0.007548,0.01,0.01,402,0.0001,0.2,310,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.718226,0.722827,0.006406,0.01,0.01,402,0.0001,0.2,320,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.718787,0.724058,0.007333,0.01,0.01,402,0.0001,0.2,330,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.720668,0.724558,0.005397,0.01,0.01,402,0.0001,0.2,340,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.719618,0.72643,0.009466,0.01,0.01,402,0.0001,0.2,350,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.719862,0.724998,0.007134,0.01,0.01,402,0.0001,0.2,360,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.721055,0.726105,0.007003,0.01,0.01,402,0.0001,0.2,370,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717883,0.72435,0.009008,0.01,0.01,402,0.0001,0.2,380,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.721767,0.726223,0.006174,0.01,0.01,402,0.0001,0.2,390,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717851,0.727256,0.013103,0.01,0.01,402,0.0001,0.2,400,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.723784,0.730787,0.009675,0.01,0.01,402,0.0001,0.2,410,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.721198,0.728429,0.010027,0.01,0.01,402,0.0001,0.2,420,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722771,0.728902,0.008483,0.01,0.01,402,0.0001,0.2,430,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722707,0.732813,0.013984,0.01,0.01,402,0.0001,0.2,440,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722017,0.728909,0.009544,0.01,0.01,402,0.0001,0.2,450,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722347,0.733274,0.015127,0.01,0.01,402,0.0001,0.2,460,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.725403,0.734912,0.013108,0.01,0.01,402,0.0001,0.2,470,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.727208,0.738906,0.016088,0.01,0.01,402,0.0001,0.2,480,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.730243,0.736567,0.00866,0.01,0.01,402,0.0001,0.2,490,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
